,epoch_1,epoch_2,epoch_3,epoch_4,epoch_5,epoch_6,epoch_7,epoch_8,epoch_9,epoch_10,epoch_11,epoch_12,epoch_13,epoch_14,epoch_15,epoch_16,epoch_17,epoch_18,epoch_19,epoch_20,epoch_12.1,epoch_12.1.1,epoch_12.1.1.1,epoch_12.1.1.1.1,epoch_12.1.1.1.1.1,epoch_12.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1.1.1.1.1,epoch_12.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,epoch_12
threshold,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.003,0.01,0.03,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.96,0.003,0.01,0.03
TP,2049.0,2889.0,2932.0,3018.0,2859.0,3085.0,2986.0,3089.0,3475.0,3406.0,3346.0,3550.0,3279.0,3248.0,3234.0,3365.0,3415.0,3147.0,3229.0,3340.0,6180.0,6053.0,5867.0,5434.0,4967.0,4526.0,4046.0,3550.0,2943.0,2296.0,1580.0,813.0,292.0,6180.0,6053.0,5867.0
FP,944.0,1401.0,1322.0,1307.0,1179.0,1355.0,1246.0,1326.0,1732.0,1608.0,1598.0,1805.0,1524.0,1486.0,1475.0,1623.0,1727.0,1358.0,1538.0,1616.0,38186.0,23781.0,14469.0,7690.0,4880.0,3483.0,2496.0,1805.0,1233.0,753.0,397.0,150.0,46.0,38186.0,23781.0,14469.0
TN,92755.0,92298.0,92377.0,92392.0,92520.0,92344.0,92453.0,92373.0,91967.0,92091.0,92101.0,91894.0,92175.0,92213.0,92224.0,92076.0,91972.0,92341.0,92161.0,92083.0,55513.0,69918.0,79230.0,86009.0,88819.0,90216.0,91203.0,91894.0,92466.0,92946.0,93302.0,93549.0,93653.0,55513.0,69918.0,79230.0
FN,4252.0,3412.0,3369.0,3283.0,3442.0,3216.0,3315.0,3212.0,2826.0,2895.0,2955.0,2751.0,3022.0,3053.0,3067.0,2936.0,2886.0,3154.0,3072.0,2961.0,121.0,248.0,434.0,867.0,1334.0,1775.0,2255.0,2751.0,3358.0,4005.0,4721.0,5488.0,6009.0,121.0,248.0,434.0
F1,0.4409296320206585,0.5455575488622415,0.5555660824253909,0.5680406549971767,0.5530515523745043,0.5744344102038916,0.5669799677204975,0.5765210899589399,0.6039277024678484,0.6020326999558109,0.5951089373054691,0.6091283459162663,0.5905979827089337,0.5886724059809696,0.5874659400544959,0.5961555496501019,0.5968714497946342,0.5824541921154914,0.5834839176002892,0.5934085457937284,0.2439457635147137,0.3350214473502145,0.4405150730187333,0.5594851994851995,0.6151845429774585,0.6325646401118099,0.6300708557190687,0.6091283459162663,0.5618020425694378,0.4911229946524064,0.3817347185310461,0.2238436123348017,0.08796505497815936,0.2439457635147137,0.3350214473502145,0.4405150730187333
Recall,0.32518647833677194,0.4584986510077765,0.4653229646087922,0.4789715918108237,0.4537375019838121,0.48960482463101096,0.4738930328519282,0.4902396445008729,0.5514997619425488,0.5405491191874305,0.5310268211395016,0.56340263450246,0.5203935883193144,0.5154737343278845,0.5132518647833677,0.5340422155213458,0.5419774638946199,0.4994445326138709,0.5124583399460403,0.5300745913347088,0.9807966989366768,0.9606411680685606,0.9311220441199808,0.8624027932074274,0.7882875734010475,0.7182986827487701,0.6421202983653388,0.56340263450246,0.4670687192509125,0.3643866053007459,0.250753848595461,0.1290271385494366,0.04634185049992065,0.9807966989366768,0.9606411680685606,0.931122044119981
Precision,0.6845973939191446,0.6734265734265734,0.689233662435355,0.6978034682080925,0.7080237741456167,0.6948198198198198,0.7055765595463138,0.6996602491506229,0.6673708469368158,0.6792979656960509,0.6767799352750811,0.6629318394024276,0.6826983135540288,0.6861005492184199,0.6867700148651519,0.6746190858059342,0.6641384675223648,0.6985571587125416,0.6773652192154395,0.6739305891848265,0.13929585718793672,0.20288932090903,0.2885031471282455,0.4140505943309967,0.5044175891134356,0.5651142464727182,0.6184653011311525,0.6629318394024276,0.7047413793103449,0.7530337815677272,0.7991906929691451,0.8442367601246106,0.863905325443787,0.13929585718793672,0.20288932090903,0.2885031471282455
Fallout,0.010074814032166831,0.014952133960874716,0.014109008634030248,0.013948921546654714,0.012582845067716838,0.014461200226256415,0.013297900724660885,0.014151698523997057,0.01848472235562813,0.01716133576665706,0.01705461104174004,0.019263812847522384,0.01626484807735408,0.0158592941226694,0.015741896925260675,0.017321422854032594,0.018431359993169617,0.014493217643731526,0.016414262692237908,0.017246715546590678,0.4075390345681384,0.2538020683251689,0.15442000448243845,0.08207131346118955,0.052081665759506506,0.0371722216885986,0.026638491339288573,0.019263812847522384,0.013159158582268756,0.00803637178625172,0.0042369715792057545,0.001600870873755323,0.0004909337346182992,0.4075390345681384,0.2538020683251689,0.15442000448243845
Accuracy,0.94804,0.95187,0.95309,0.9541,0.9537899999999999,0.95429,0.95439,0.95462,0.95442,0.95497,0.95447,0.95444,0.95454,0.95461,0.9545799999999999,0.95441,0.9538700000000001,0.95488,0.9539,0.95423,0.61693,0.75971,0.8509699999999999,0.91443,0.93786,0.94742,0.95249,0.95444,0.95409,0.95242,0.9488200000000001,0.9436200000000001,0.93945,0.61693,0.75971,0.8509699999999999
