,epoch_19,epoch_19.1,epoch_19.1.1,epoch_19.1.1.1,epoch_19.1.1.1.1,epoch_19.1.1.1.1.1,epoch_19.1.1.1.1.1.1,epoch_19.1.1.1.1.1.1.1,epoch_19.1.1.1.1.1.1.1.1,epoch_19.1.1.1.1.1.1.1.1.1,epoch_19.1.1.1.1.1.1.1.1.1.1,epoch_19.1.1.1.1.1.1.1.1.1.1.1,epoch_19
threshold,0.003,0.01,0.03,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.96
TP,6071.0,5837.0,5465.0,4738.0,4139.0,3649.0,3216.0,2842.0,2505.0,2124.0,1738.0,1234.0,796.0
FP,49002.0,30068.0,16136.0,7118.0,4130.0,2891.0,2133.0,1653.0,1259.0,953.0,716.0,436.0,238.0
TN,44697.0,63631.0,77563.0,86581.0,89569.0,90808.0,91566.0,92046.0,92440.0,92746.0,92983.0,93263.0,93461.0
FN,230.0,464.0,836.0,1563.0,2162.0,2652.0,3085.0,3459.0,3796.0,4177.0,4563.0,5067.0,5505.0
F1,0.1978362172907094,0.2765957446808511,0.39172819152748906,0.5218923831029355,0.5681537405628003,0.5683357993925706,0.5521030042918454,0.526491293071508,0.4977645305514158,0.452975047984645,0.3970302684180469,0.3096223811316021,0.21704158145875938
Recall,0.9634978574829391,0.9263608950960164,0.8673226471988573,0.7519441358514521,0.6568798603396286,0.5791144262815426,0.510395175368989,0.4510395175368989,0.3975559435010316,0.3370893508966831,0.27582923345500715,0.1958419298524044,0.1263291541025234
Precision,0.11023550560165599,0.16256788748085224,0.2529975464098884,0.39962887989203777,0.5005442012335228,0.5579510703363915,0.6012338754907459,0.6322580645161291,0.6655154091392136,0.6902827429314267,0.7082314588427058,0.7389221556886227,0.769825918762089
Fallout,0.5229724970383889,0.3208999028805003,0.17221101612610593,0.07596665919593593,0.04407731139072989,0.030854117973510925,0.022764383824800692,0.017641597028783658,0.01343664286705301,0.01017086628459215,0.0076414903040587425,0.0046531980063821395,0.0025400484530251123
Accuracy,0.50768,0.6946800000000001,0.8302799999999999,0.91319,0.93708,0.94457,0.94782,0.94888,0.94945,0.9487,0.94721,0.9449700000000001,0.94257
